date,Tmax,Tmin,Tmean,Tdew_mean,RH_mean,RH_min,RH_max,Rs_mean_Wm2,Rs_max_Wm2,Precip_mm,Wind_mean_ms,Wind_max_ms,UV_max,Heat_index_max,DTR,Rs_MJm2,Tmean_minmax,Ra_MJm2,ET0_Harg,ET0_PM,ET0,GDD_10,CDD_30,qc_Tmax_missing,qc_Rs_missing,qc_any_gap,year
1/1/2015,25.1,18.4,21.99361702,15.27659574,66.17021277,53,82,275.7021277,918,0,2.995744681,20.9,13.4,24.9,6.7,23.82066383,21.75,41.5870655,9.791968363,5.116722749,5.116722749,11.75,0,0,0,0,2015
1/2/2015,25.7,20.5,22.3,15.50208333,65.64583333,56,72,184.5,878,0,2.533333333,24.1,12.2,25.9,5.2,15.9408,23.1,41.58043246,8.919526863,4.073244911,4.073244911,13.1,0,0,0,0,2015
1/3/2015,26.1,20.4,22.38125,15.45,65.25,53,72,224.3541667,904,0,3.233333333,25.7,12.8,26.2,5.7,19.3842,23.25,41.57282459,9.371043592,4.732521913,4.732521913,13.25,0,0,0,0,2015
1/4/2015,26.2,19.9,22.03333333,15.35833333,66.27083333,55,77,196.75,868,0,2.633333333,20.9,10.8,26,6.3,16.9992,23.05,41.56422398,9.801890535,4.183517144,4.183517144,13.05,0,0,0,0,2015
1/5/2015,25.6,19.5,22.00833333,15.44583333,66.85416667,54,79,237.6041667,948,0,2.6,20.9,13.3,25.6,6.1,20.529,22.55,41.55461165,9.52479244,4.586885474,4.586885474,12.55,0,0,0,0,2015
1/6/2015,26.3,19.8,22.15625,15.44375,66.22916667,52,75,213.0625,934,0,2.833333333,22.5,13.8,26.2,6.5,18.4086,23.05,41.54396749,9.951408288,4.433367743,4.433367743,13.05,0,0,0,0,2015
1/7/2015,25,20.2,22.16041667,15.30833333,65.54166667,55,76,273.0208333,923,0,3.36875,22.5,13.6,25.2,4.8,23.589,22.6,41.53227035,8.455036605,5.214471026,5.214471026,12.6,0,0,0,0,2015
1/8/2015,26,20.1,22.22916667,15.19583333,64.9375,52,78,220.9166667,921,0,2.9,22.5,13.1,26,5.9,19.0872,23.05,41.51949808,9.475409708,4.603866732,4.603866732,13.05,0,0,0,0,2015
1/9/2015,26.3,20.5,22.71666667,15.17291667,62.97916667,50,73,255.4583333,924,0,2.941666667,24.1,13.3,26.2,5.8,22.0716,23.4,41.50562754,9.472094744,5.131610976,5.131610976,13.4,0,0,0,0,2015
1/10/2015,26.8,20.8,22.7875,15.86666667,65.5625,49,75,226.7083333,909,0,2.666666667,24.1,13,26.8,6,19.5876,23.8,41.49063467,9.724042985,4.637702999,4.637702999,13.8,0,0,0,0,2015
