img_index,date,agri_year,phenology,cloud_tile_pct,cloud_roi_pct,satellite,parcel_id,group,NDVI,EVI,NDRE,NDWI,SAVI,CIre,GNDVI,MTCI
20160318T144712_20160318T145513_T19KCV,2016-03-18,2016,Crec.Fruto,0.05,0.0,Sentinel-2A,A-1,A,0.28474,0.217467,0.220899,-0.402083,0.212545,0.434435,0.402083,1.468543
20160318T144712_20160318T145513_T19KCV,2016-03-18,2016,Crec.Fruto,0.05,0.0,Sentinel-2A,A-2,A,0.291064,0.21916,0.225643,-0.413063,0.216629,0.439313,0.413063,1.434464
20160318T144712_20160318T145513_T19KCV,2016-03-18,2016,Crec.Fruto,0.05,0.0,Sentinel-2A,A-3,A,0.32213,0.239062,0.254471,-0.436818,0.235078,0.529211,0.436818,1.744509
20160318T144712_20160318T145513_T19KCV,2016-03-18,2016,Crec.Fruto,0.05,0.0,Sentinel-2A,A-4,A,0.305065,0.225997,0.243446,-0.428368,0.224257,0.489688,0.428368,1.635883
20160318T144712_20160318T145513_T19KCV,2016-03-18,2016,Crec.Fruto,0.05,0.0,Sentinel-2A,B-5,B,0.307244,0.230611,0.244252,-0.414163,0.224163,0.511288,0.414163,1.785498
20160318T144712_20160318T145513_T19KCV,2016-03-18,2016,Crec.Fruto,0.05,0.0,Sentinel-2A,B-6,B,0.327983,0.242745,0.263425,-0.439994,0.237947,0.561824,0.439994,1.866871
20160318T144712_20160318T145513_T19KCV,2016-03-18,2016,Crec.Fruto,0.05,0.0,Sentinel-2A,B-7,B,0.328354,0.238984,0.265137,-0.440648,0.235634,0.570545,0.440648,1.894861
20160318T144712_20160318T145513_T19KCV,2016-03-18,2016,Crec.Fruto,0.05,0.0,Sentinel-2A,B-8,B,0.340982,0.250056,0.274876,-0.453547,0.246107,0.592268,0.453547,1.89114
20160318T144712_20160318T145513_T19KCV,2016-03-18,2016,Crec.Fruto,0.05,0.0,Sentinel-2A,C-9,C,0.352432,0.254664,0.286236,-0.460807,0.250762,0.645265,0.460807,2.141124
20160318T144712_20160318T145513_T19KCV,2016-03-18,2016,Crec.Fruto,0.05,0.0,Sentinel-2A,C-10,C,0.334635,0.245144,0.264748,-0.44872,0.241424,0.565272,0.44872,1.802732
20160318T144712_20160318T145513_T19KCV,2016-03-18,2016,Crec.Fruto,0.05,0.0,Sentinel-2A,C-11,C,0.389482,0.279984,0.311112,-0.487676,0.273139,0.739171,0.487676,2.304695
20161223T144722_20161223T145246_T19KCV,2016-12-23,2017,Cuajado,0.07,0.0,Sentinel-2A,A-1,A,0.282695,0.227774,0.219444,-0.396265,0.219666,0.450718,0.396265,1.658788
20161223T144722_20161223T145246_T19KCV,2016-12-23,2017,Cuajado,0.07,0.0,Sentinel-2A,A-2,A,0.272703,0.216233,0.209673,-0.392613,0.211029,0.419175,0.392613,1.543812
20161223T144722_20161223T145246_T19KCV,2016-12-23,2017,Cuajado,0.07,0.0,Sentinel-2A,A-3,A,0.306022,0.240074,0.238398,-0.416936,0.23273,0.51112,0.416936,1.924485
20161223T144722_20161223T145246_T19KCV,2016-12-23,2017,Cuajado,0.07,0.0,Sentinel-2A,A-4,A,0.280727,0.220738,0.218881,-0.40049,0.215787,0.446232,0.40049,1.653339
20161223T144722_20161223T145246_T19KCV,2016-12-23,2017,Cuajado,0.07,0.0,Sentinel-2A,B-5,B,0.311082,0.247443,0.24033,-0.412232,0.237154,0.52384,0.412232,1.872017
20161223T144722_20161223T145246_T19KCV,2016-12-23,2017,Cuajado,0.07,0.0,Sentinel-2A,B-6,B,0.294207,0.232554,0.228455,-0.405308,0.224406,0.477545,0.405308,1.722978
20161223T144722_20161223T145246_T19KCV,2016-12-23,2017,Cuajado,0.07,0.0,Sentinel-2A,B-7,B,0.311269,0.238612,0.24359,-0.421317,0.232091,0.526775,0.421317,1.888656
20161223T144722_20161223T145246_T19KCV,2016-12-23,2017,Cuajado,0.07,0.0,Sentinel-2A,B-8,B,0.296564,0.232229,0.231921,-0.413657,0.225538,0.475396,0.413657,1.718801
20161223T144722_20161223T145246_T19KCV,2016-12-23,2017,Cuajado,0.07,0.0,Sentinel-2A,C-9,C,0.324244,0.247328,0.253614,-0.432031,0.240507,0.55653,0.432031,1.896097
20161223T144722_20161223T145246_T19KCV,2016-12-23,2017,Cuajado,0.07,0.0,Sentinel-2A,C-10,C,0.293316,0.22802,0.22681,-0.411092,0.222468,0.470793,0.411092,1.486476
20161223T144722_20161223T145246_T19KCV,2016-12-23,2017,Cuajado,0.07,0.0,Sentinel-2A,C-11,C,0.345991,0.262193,0.271212,-0.447376,0.252928,0.617726,0.447376,2.13754
20170201T144721_20170201T145032_T19KCV,2017-02-01,2017,Crec.Fruto,0.22,0.0,Sentinel-2A,A-1,A,0.285266,0.22463,0.220127,-0.40246,0.219098,0.443016,0.40246,1.494108
20170201T144721_20170201T145032_T19KCV,2017-02-01,2017,Crec.Fruto,0.22,0.0,Sentinel-2A,A-2,A,0.278738,0.21558,0.216533,-0.404056,0.212884,0.4256,0.404056,1.465593
20170201T144721_20170201T145032_T19KCV,2017-02-01,2017,Crec.Fruto,0.22,0.0,Sentinel-2A,A-3,A,0.306797,0.234142,0.239348,-0.423572,0.230208,0.504117,0.423572,1.75879
20170201T144721_20170201T145032_T19KCV,2017-02-01,2017,Crec.Fruto,0.22,0.0,Sentinel-2A,A-4,A,0.283912,0.217609,0.223693,-0.409127,0.215234,0.448347,0.409127,1.573459
20170201T144721_20170201T145032_T19KCV,2017-02-01,2017,Crec.Fruto,0.22,0.0,Sentinel-2A,B-5,B,0.311168,0.240022,0.24109,-0.418218,0.233556,0.516495,0.418218,1.636938
20170201T144721_20170201T145032_T19KCV,2017-02-01,2017,Crec.Fruto,0.22,0.0,Sentinel-2A,B-6,B,0.301053,0.231523,0.234031,-0.415009,0.225912,0.484876,0.415009,1.595953
20170201T144721_20170201T145032_T19KCV,2017-02-01,2017,Crec.Fruto,0.22,0.0,Sentinel-2A,B-7,B,0.327302,0.243053,0.257388,-0.437974,0.238994,0.561505,0.437974,1.814984
20170201T144721_20170201T145032_T19KCV,2017-02-01,2017,Crec.Fruto,0.22,0.0,Sentinel-2A,B-8,B,0.309294,0.234323,0.241208,-0.426975,0.230794,0.490226,0.426975,1.576609
20170201T144721_20170201T145032_T19KCV,2017-02-01,2017,Crec.Fruto,0.22,0.0,Sentinel-2A,C-9,C,0.337002,0.247912,0.266563,-0.447926,0.244419,0.588805,0.447926,1.953224
20170201T144721_20170201T145032_T19KCV,2017-02-01,2017,Crec.Fruto,0.22,0.0,Sentinel-2A,C-10,C,0.302717,0.227155,0.23507,-0.424876,0.224775,0.478235,0.424876,1.346867
20170201T144721_20170201T145032_T19KCV,2017-02-01,2017,Crec.Fruto,0.22,0.0,Sentinel-2A,C-11,C,0.352294,0.257878,0.275349,-0.455623,0.251971,0.619134,0.455623,1.410688
20170711T144731_20170711T144735_T19KCV,2017-07-11,2018,Reposo,0.1,0.0,Sentinel-2A,A-1,A,0.390553,0.24893,0.295997,-0.494791,0.252239,0.695259,0.494791,2.647623
20170711T144731_20170711T144735_T19KCV,2017-07-11,2018,Reposo,0.1,0.0,Sentinel-2A,A-2,A,0.385361,0.245299,0.288731,-0.49619,0.250097,0.663118,0.49619,2.213704
20170711T144731_20170711T144735_T19KCV,2017-07-11,2018,Reposo,0.1,0.0,Sentinel-2A,A-3,A,0.420751,0.26884,0.322986,-0.523278,0.272974,0.79245,0.523278,3.601318
20170711T144731_20170711T144735_T19KCV,2017-07-11,2018,Reposo,0.1,0.0,Sentinel-2A,A-4,A,0.384862,0.247458,0.293437,-0.500281,0.252701,0.66969,0.500281,2.324798
20170711T144731_20170711T144735_T19KCV,2017-07-11,2018,Reposo,0.1,0.0,Sentinel-2A,B-5,B,0.430348,0.272142,0.332279,-0.526012,0.274618,0.836176,0.526012,2.756094
20170711T144731_20170711T144735_T19KCV,2017-07-11,2018,Reposo,0.1,0.0,Sentinel-2A,B-6,B,0.433501,0.278769,0.333643,-0.532224,0.281649,0.838722,0.532224,2.745408
20170711T144731_20170711T144735_T19KCV,2017-07-11,2018,Reposo,0.1,0.0,Sentinel-2A,B-7,B,0.436945,0.271314,0.343804,-0.536847,0.275732,0.879604,0.536847,3.069817
20170711T144731_20170711T144735_T19KCV,2017-07-11,2018,Reposo,0.1,0.0,Sentinel-2A,B-8,B,0.431194,0.272902,0.336148,-0.535428,0.277943,0.826946,0.535428,2.739264
