parcel_id,group,variety,yield_year,yield_tn_ha,yield_lag1,alternance,CP_lag1,CH12_lag1,CU_lag1,Tmean_chill_lag1,Tmax_mean_FLOR,Tmean_mean_FLOR,Tmax_mean_CREC,Tmean_mean_CREC,ET0_sum_CREC,Tmax_mean_ENVE,Tmean_mean_ENVE,KDD35_ANN,CDD30_ANN,Tmean_mean_ANN,NDRE_repro_lag1,CIre_repro_lag1,NDVI_repro_lag1,n_repro_imgs,NDVI_CREC,NDRE_CREC,n_crec_imgs
A-1,A,Sevillana-Ascolana,2016,1.8,,OFF,0.0,63.0,-1918.5,18.19909006735981,22.23478260869565,18.705227260869563,27.50133333333333,23.3880700296,365.002599737,25.286046511627905,20.28587449511628,0.0,1.1000000000000014,19.34503504438548,,,,,,,
A-1,A,Sevillana-Ascolana,2017,7.14,1.8,ON,0.0,132.0,-1510.0,17.189485248307474,22.560869565217395,18.9762154176087,28.17432432432432,23.988619462702708,378.98877873900005,25.56521739130436,20.34323946978261,0.0,2.6999999999999997,19.08830740580822,0.219444,0.450718,0.282695,1.0,0.285266,0.220127,1.0
A-1,A,Sevillana-Ascolana,2018,8.82,7.14,ON,0.0,85.0,-1594.0,17.45878732310993,21.121739130434783,17.471536242608693,26.984745762711867,21.955425824067795,268.089548941,24.778260869565216,19.919432407608696,0.0,0.0,18.64161043304985,0.22122350000000002,0.463909,0.296098,2.0,0.28463,0.208066,1.0
A-1,A,Sevillana-Ascolana,2019,10.81,8.82,ON,0.0,100.0,-1300.5,16.77075980812661,22.74347826086956,18.86167824173913,27.5171875,22.45878673234375,281.780881435,24.51739130434782,19.79306246130435,0.0,1.3999999999999986,18.22257596856338,0.2186855,0.4663215,0.283361,2.0,0.2733251428571429,0.21659414285714287,7.0
A-1,A,Sevillana-Ascolana,2020,8.67,10.81,ON,1.0015394737663663,147.0,-1051.0,16.321239945625745,21.793478260869566,17.03088756630435,27.361333333333334,21.10504912813333,314.97395890800004,25.654347826086955,19.354393115869566,0.0,2.400000000000002,17.773841312622952,0.2109674,0.43426860000000006,0.28379719999999997,5.0,0.2763643636363637,0.21394518181818184,11.0
A-1,A,Sevillana-Ascolana,2022,12.48,,ON,3.029690606961055,417.0,-1016.5,16.55968325945904,22.09347826086957,15.95058876847826,24.77076923076923,18.65750000015385,247.575818777,23.54318181818182,17.01148042977273,0.0,0.0,16.10811342610606,0.2376075,0.516127,0.3316255,2.0,0.310107,0.2351875,8.0
A-1,A,Sevillana-Ascolana,2023,5.54,12.48,OFF,4.024588875343309,489.0,-889.5,16.029180732487994,22.08888888888889,16.198379629444446,26.014,19.8327083336,202.452458434,26.450000000000003,20.21041666636364,0.0,3.8000000000000007,18.23116372696319,0.251978375,0.569569,0.354812,8.0,0.33768509999999996,0.2507142,10.0
A-1,A,Sevillana-Ascolana,2024,0.72,5.54,OFF,0.0,30.0,-1792.0,18.45498804715187,23.805,17.91661458325,26.838709677419352,20.563474462258064,254.83836898,24.32,18.070235509000003,0.0,3.400000000000002,18.24257023328829,0.2426665,0.5368055,0.3349715,2.0,0.3174223333333333,0.24155266666666667,6.0
A-2,A,Sevillana-Ascolana,2016,1.64,,OFF,0.0,63.0,-1918.5,18.19909006735981,22.23478260869565,18.705227260869563,27.50133333333333,23.3880700296,365.002599737,25.286046511627905,20.28587449511628,0.0,1.1000000000000014,19.34503504438548,,,,,,,
A-2,A,Sevillana-Ascolana,2017,7.01,1.64,OFF,0.0,132.0,-1510.0,17.189485248307474,22.560869565217395,18.9762154176087,28.17432432432432,23.988619462702708,378.98877873900005,25.56521739130436,20.34323946978261,0.0,2.6999999999999997,19.08830740580822,0.209673,0.419175,0.272703,1.0,0.278738,0.216533,1.0
A-2,A,Sevillana-Ascolana,2018,8.48,7.01,ON,0.0,85.0,-1594.0,17.45878732310993,21.121739130434783,17.471536242608693,26.984745762711867,21.955425824067795,268.089548941,24.778260869565216,19.919432407608696,0.0,0.0,18.64161043304985,0.217505,0.4470375,0.2915365,2.0,0.29235,0.21479,1.0
A-2,A,Sevillana-Ascolana,2019,9.66,8.48,ON,0.0,100.0,-1300.5,16.77075980812661,22.74347826086956,18.86167824173913,27.5171875,22.45878673234375,281.780881435,24.51739130434782,19.79306246130435,0.0,1.3999999999999986,18.22257596856338,0.20747,0.43614949999999997,0.26872050000000003,2.0,0.2870774285714286,0.2272522857142857,7.0
A-2,A,Sevillana-Ascolana,2020,9.89,9.66,ON,1.0015394737663663,147.0,-1051.0,16.321239945625745,21.793478260869566,17.03088756630435,27.361333333333334,21.10504912813333,314.97395890800004,25.654347826086955,19.354393115869566,0.0,2.400000000000002,17.773841312622952,0.20630880000000001,0.413052,0.27722800000000003,5.0,0.2831353636363636,0.22050681818181816,11.0
A-2,A,Sevillana-Ascolana,2022,12.45,,ON,3.029690606961055,417.0,-1016.5,16.55968325945904,22.09347826086957,15.95058876847826,24.77076923076923,18.65750000015385,247.575818777,23.54318181818182,17.01148042977273,0.0,0.0,16.10811342610606,0.2421325,0.519298,0.33539399999999997,2.0,0.323907,0.24629737499999999,8.0
A-2,A,Sevillana-Ascolana,2023,5.74,12.45,OFF,4.024588875343309,489.0,-889.5,16.029180732487994,22.08888888888889,16.198379629444446,26.014,19.8327083336,202.452458434,26.450000000000003,20.21041666636364,0.0,3.8000000000000007,18.23116372696319,0.25961075,0.5863825,0.36408725,8.0,0.35401509999999997,0.2627077,10.0
A-2,A,Sevillana-Ascolana,2024,0.75,5.74,OFF,0.0,30.0,-1792.0,18.45498804715187,23.805,17.91661458325,26.838709677419352,20.563474462258064,254.83836898,24.32,18.070235509000003,0.0,3.400000000000002,18.24257023328829,0.24720799999999998,0.529721,0.3387065,2.0,0.3271056666666667,0.24781633333333333,6.0
A-3,A,Sevillana-Ascolana,2016,1.82,,OFF,0.0,63.0,-1918.5,18.19909006735981,22.23478260869565,18.705227260869563,27.50133333333333,23.3880700296,365.002599737,25.286046511627905,20.28587449511628,0.0,1.1000000000000014,19.34503504438548,,,,,,,
A-3,A,Sevillana-Ascolana,2017,6.4,1.82,OFF,0.0,132.0,-1510.0,17.189485248307474,22.560869565217395,18.9762154176087,28.17432432432432,23.988619462702708,378.98877873900005,25.56521739130436,20.34323946978261,0.0,2.6999999999999997,19.08830740580822,0.238398,0.51112,0.306022,1.0,0.306797,0.239348,1.0
A-3,A,Sevillana-Ascolana,2018,8.35,6.4,ON,0.0,85.0,-1594.0,17.45878732310993,21.121739130434783,17.471536242608693,26.984745762711867,21.955425824067795,268.089548941,24.778260869565216,19.919432407608696,0.0,0.0,18.64161043304985,0.25597400000000003,0.567963,0.338491,2.0,0.314538,0.234241,1.0
A-3,A,Sevillana-Ascolana,2019,9.64,8.35,ON,0.0,100.0,-1300.5,16.77075980812661,22.74347826086956,18.86167824173913,27.5171875,22.45878673234375,281.780881435,24.51739130434782,19.79306246130435,0.0,1.3999999999999986,18.22257596856338,0.256764,0.5627534999999999,0.3296755,2.0,0.31640414285714286,0.252565,7.0
A-3,A,Sevillana-Ascolana,2020,9.01,9.64,ON,1.0015394737663663,147.0,-1051.0,16.321239945625745,21.793478260869566,17.03088756630435,27.361333333333334,21.10504912813333,314.97395890800004,25.654347826086955,19.354393115869566,0.0,2.400000000000002,17.773841312622952,0.242118,0.5084256,0.321185,5.0,0.31247772727272727,0.24364127272727273,11.0
A-3,A,Sevillana-Ascolana,2022,12.73,,ON,3.029690606961055,417.0,-1016.5,16.55968325945904,22.09347826086957,15.95058876847826,24.77076923076923,18.65750000015385,247.575818777,23.54318181818182,17.01148042977273,0.0,0.0,16.10811342610606,0.25693449999999995,0.562147,0.34783149999999996,2.0,0.344032625,0.267608375,8.0
A-3,A,Sevillana-Ascolana,2023,5.1,12.73,OFF,4.024588875343309,489.0,-889.5,16.029180732487994,22.08888888888889,16.198379629444446,26.014,19.8327083336,202.452458434,26.450000000000003,20.21041666636364,0.0,3.8000000000000007,18.23116372696319,0.279736125,0.6421375,0.38521975,8.0,0.3689372,0.2786056,10.0
A-3,A,Sevillana-Ascolana,2024,0.74,5.1,OFF,0.0,30.0,-1792.0,18.45498804715187,23.805,17.91661458325,26.838709677419352,20.563474462258064,254.83836898,24.32,18.070235509000003,0.0,3.400000000000002,18.24257023328829,0.261487,0.581414,0.35290699999999997,2.0,0.3469816666666667,0.26956766666666665,6.0
A-4,A,Sevillana-Ascolana,2016,1.96,,OFF,0.0,63.0,-1918.5,18.19909006735981,22.23478260869565,18.705227260869563,27.50133333333333,23.3880700296,365.002599737,25.286046511627905,20.28587449511628,0.0,1.1000000000000014,19.34503504438548,,,,,,,
A-4,A,Sevillana-Ascolana,2017,6.47,1.96,OFF,0.0,132.0,-1510.0,17.189485248307474,22.560869565217395,18.9762154176087,28.17432432432432,23.988619462702708,378.98877873900005,25.56521739130436,20.34323946978261,0.0,2.6999999999999997,19.08830740580822,0.218881,0.446232,0.280727,1.0,0.283912,0.223693,1.0
