parcel_id,yield_year,CIre_mean_Brot,CIre_mean_Crec,CIre_mean_Cuaj,CIre_mean_Enve,CIre_mean_Flor,CIre_mean_Reposo,CIre_median_Brot,CIre_median_Crec,CIre_median_Cuaj,CIre_median_Enve,CIre_median_Flor,CIre_median_Reposo,EVI_mean_Brot,EVI_mean_Crec,EVI_mean_Cuaj,EVI_mean_Enve,EVI_mean_Flor,EVI_mean_Reposo,EVI_median_Brot,EVI_median_Crec,EVI_median_Cuaj,EVI_median_Enve,EVI_median_Flor,EVI_median_Reposo,GNDVI_mean_Brot,GNDVI_mean_Crec,GNDVI_mean_Cuaj,GNDVI_mean_Enve,GNDVI_mean_Flor,GNDVI_mean_Reposo,GNDVI_median_Brot,GNDVI_median_Crec,GNDVI_median_Cuaj,GNDVI_median_Enve,GNDVI_median_Flor,GNDVI_median_Reposo,MTCI_mean_Brot,MTCI_mean_Crec,MTCI_mean_Cuaj,MTCI_mean_Enve,MTCI_mean_Flor,MTCI_mean_Reposo,MTCI_median_Brot,MTCI_median_Crec,MTCI_median_Cuaj,MTCI_median_Enve,MTCI_median_Flor,MTCI_median_Reposo,NDRE_mean_Brot,NDRE_mean_Crec,NDRE_mean_Cuaj,NDRE_mean_Enve,NDRE_mean_Flor,NDRE_mean_Reposo,NDRE_median_Brot,NDRE_median_Crec,NDRE_median_Cuaj,NDRE_median_Enve,NDRE_median_Flor,NDRE_median_Reposo,NDVI_mean_Brot,NDVI_mean_Crec,NDVI_mean_Cuaj,NDVI_mean_Enve,NDVI_mean_Flor,NDVI_mean_Reposo,NDVI_median_Brot,NDVI_median_Crec,NDVI_median_Cuaj,NDVI_median_Enve,NDVI_median_Flor,NDVI_median_Reposo,NDWI_mean_Brot,NDWI_mean_Crec,NDWI_mean_Cuaj,NDWI_mean_Enve,NDWI_mean_Flor,NDWI_mean_Reposo,NDWI_median_Brot,NDWI_median_Crec,NDWI_median_Cuaj,NDWI_median_Enve,NDWI_median_Flor,NDWI_median_Reposo,SAVI_mean_Brot,SAVI_mean_Crec,SAVI_mean_Cuaj,SAVI_mean_Enve,SAVI_mean_Flor,SAVI_mean_Reposo,SAVI_median_Brot,SAVI_median_Crec,SAVI_median_Cuaj,SAVI_median_Enve,SAVI_median_Flor,SAVI_median_Reposo
A-1,2016,,,,0.434435,,,,,,0.434435,,,,,,0.217467,,,,,,0.217467,,,,,,0.402083,,,,,,0.402083,,,,,,1.468543,,,,,,1.468543,,,,,,0.220899,,,,,,0.220899,,,,,,0.28474,,,,,,0.28474,,,,,,-0.402083,,,,,,-0.402083,,,,,,0.212545,,,,,,0.212545,,
A-1,2017,,0.443016,0.450718,,,,,0.443016,0.450718,,,,,0.22463,0.227774,,,,,0.22463,0.227774,,,,,0.40246,0.396265,,,,,0.40246,0.396265,,,,,1.494108,1.658788,,,,,1.494108,1.658788,,,,,0.220127,0.219444,,,,,0.220127,0.219444,,,,,0.285266,0.282695,,,,,0.285266,0.282695,,,,,-0.40246,-0.396265,,,,,-0.40246,-0.396265,,,,,0.219098,0.219666,,,,,0.219098,0.219666,,,
A-1,2018,,0.429413,0.463909,0.448982,,0.695259,,0.429413,0.463909,0.448982,,0.695259,,0.22616,0.2450465,0.234321,,0.24893,,0.22616,0.2450465,0.234321,,0.24893,,0.387977,0.39630750000000003,0.414338,,0.494791,,0.387977,0.39630750000000003,0.414338,,0.494791,,1.445336,1.7933535,1.568435,,2.647623,,1.445336,1.7933535,1.568435,,2.647623,,0.208066,0.22122350000000002,0.219543,,0.295997,,0.208066,0.22122350000000002,0.219543,,0.295997,,0.28463,0.296098,0.302262,,0.390553,,0.28463,0.296098,0.302262,,0.390553,,-0.387977,-0.39630750000000003,-0.414338,,-0.494791,,-0.387977,-0.39630750000000003,-0.414338,,-0.494791,,0.214225,0.2293615,0.224681,,0.252239,,0.214225,0.2293615,0.224681,,0.252239
A-1,2019,,0.4381315714285714,0.4663215,0.43037000000000003,,,,0.433225,0.4663215,0.425213,,,,0.21260742857142856,0.23827399999999999,0.20878225,,,,0.210619,0.23827399999999999,0.2093535,,,,0.378371,0.38038249999999996,0.3930275,,,,0.383499,0.38038249999999996,0.40021549999999995,,,,1.6001807142857143,1.6718294999999999,1.6723824999999999,,,,1.59967,1.6718294999999999,1.678674,,,,0.21659414285714287,0.2186855,0.213837,,,,0.215429,0.2186855,0.2145665,,,,0.2733251428571429,0.283361,0.28153375,,,,0.280244,0.283361,0.285383,,,,-0.378371,-0.38038249999999996,-0.3930275,,,,-0.383499,-0.38038249999999996,-0.40021549999999995,,,,0.20364085714285715,0.222033,0.2049515,,,,0.207876,0.222033,0.2076835,,
A-1,2020,0.42357,0.43651199999999996,0.4304733333333333,0.4280234,0.4399615,0.479844,0.42357,0.434108,0.430352,0.440216,0.4399615,0.479844,0.214805,0.21263945454545452,0.22541966666666666,0.20573160000000001,0.237462,0.216274,0.214805,0.214152,0.224177,0.210464,0.237462,0.216274,0.385949,0.3795113636363636,0.38720899999999997,0.3957946,0.3869525,0.432126,0.385949,0.380788,0.387155,0.40296,0.3869525,0.432126,2.873998,1.5650527272727273,1.1232576666666667,1.54582375,1.77007,1.839991,2.873998,1.562477,1.589106,1.5122935,1.77007,1.839991,0.208726,0.21394518181818184,0.21125933333333333,0.2151166,0.21052949999999998,0.233905,0.208726,0.213738,0.211845,0.218272,0.21052949999999998,0.233905,0.283126,0.2763643636363637,0.28025733333333336,0.2835318,0.289107,0.311944,0.283126,0.277412,0.281256,0.290564,0.289107,0.311944,-0.385949,-0.3795113636363636,-0.38720899999999997,-0.3957946,-0.3869525,-0.432126,-0.385949,-0.380788,-0.387155,-0.40296,-0.3869525,-0.432126,0.208471,0.20639745454545455,0.21795399999999998,0.2039762,0.2245085,0.222673,0.208471,0.207598,0.21483,0.209048,0.2245085,0.222673
A-1,2021,,0.43118184615384614,0.42480249999999997,0.5249006666666666,0.450202,0.387122,,0.434807,0.4471045,0.508494,0.450202,0.387122,,0.20824030769230767,0.237577,0.22355166666666668,0.244674,0.193062,,0.214924,0.236077,0.226885,0.244674,0.193062,,0.3773236153846154,0.38467650000000003,0.43718299999999993,0.409933,0.332436,,0.381657,0.39726150000000005,0.424668,0.409933,0.332436,,1.7200987692307694,1.7558018333333332,2.029095,1.82522,0.745971,,1.639867,1.6702314999999999,2.092818,1.82522,0.745971,,0.2082633076923077,0.20602600000000001,0.23856699999999997,0.217508,0.194374,,0.211833,0.21382400000000001,0.235144,0.217508,0.194374,,0.2690458461538462,0.28124283333333333,0.3166366666666667,0.302862,0.245065,,0.27406,0.2900935,0.31151,0.302862,0.245065,,-0.3773236153846154,-0.38467650000000003,-0.43718299999999993,-0.409933,-0.332436,,-0.381657,-0.39726150000000005,-0.424668,-0.409933,-0.332436,,0.20211099999999999,0.223355,0.224755,0.239515,0.174403,,0.206831,0.226306,0.222927,0.239515,0.174403
A-1,2022,0.595306,0.507929375,0.496749,0.5720473333333334,0.535505,0.591511,0.595306,0.5096745,0.496749,0.5499065000000001,0.535505,0.591511,0.262875,0.233389625,0.249879,0.2414085,0.267427,0.237131,0.262875,0.23081249999999998,0.249879,0.2410795,0.267427,0.237131,0.476045,0.421034375,0.414581,0.47183250000000004,0.45362,0.45247,0.476045,0.42352999999999996,0.414581,0.457699,0.45362,0.45247,2.44101,1.785892,1.83113,2.055545,1.734421,1.894552,2.44101,1.8036984999999999,1.83113,1.975323,1.734421,1.894552,0.266223,0.2351875,0.228482,0.2578738333333333,0.246733,0.26001,0.266223,0.2355015,0.228482,0.249661,0.246733,0.26001,0.368115,0.310107,0.310833,0.34813500000000003,0.352418,0.33676,0.368115,0.310152,0.310833,0.33989349999999996,0.352418,0.33676,-0.476045,-0.421034375,-0.414581,-0.47183250000000004,-0.45362,-0.45247,-0.476045,-0.42352999999999996,-0.414581,-0.457699,-0.45362,-0.45247,0.266719,0.228054125,0.237496,0.24574783333333336,0.266698,0.236946,0.266719,0.229234,0.237496,0.23978,0.266698,0.236946
A-1,2023,,0.5573764999999999,0.5835817999999999,0.5751339999999999,0.5462143333333334,,,0.57027,0.577994,0.571787,0.541211,,,0.24863110000000002,0.2785582,0.23802283333333332,0.279412,,,0.2462875,0.285667,0.2378825,0.276657,,,0.44443720000000003,0.44758119999999996,0.4672155,0.4484916666666667,,,0.4432125,0.446331,0.460233,0.451079,,,1.7549477,3.2755218,1.8509683333333333,1.8871543333333332,,,1.7243620000000002,1.748001,1.7593925,1.876221,,,0.2507142,0.25482360000000004,0.260952,0.2472363333333333,,,0.2516355,0.253353,0.25804150000000003,0.247702,,,0.33768509999999996,0.3552868,0.34778216666666667,0.3540206666666667,,,0.33769099999999996,0.357485,0.3455335,0.351907,,,-0.44443720000000003,-0.44758119999999996,-0.4672155,-0.4484916666666667,,,-0.4432125,-0.446331,-0.460233,-0.451079,,,0.24569049999999998,0.2676652,0.242694,0.266384,,,0.244928,0.274196,0.238852,0.262525,
A-1,2024,0.630307,0.5255261666666667,,0.5820445,0.5368055,,0.630307,0.497793,,0.585896,0.5368055,,0.259118,0.23755800000000002,,0.23801150000000001,0.2670305,,0.259118,0.23465249999999999,,0.2379085,0.2670305,,0.479832,0.42048250000000004,,0.45054716666666667,0.42601049999999996,,0.479832,0.416142,,0.454835,0.42601049999999996,,2.065418,1.7329818333333333,,1.4936435000000001,1.8288185,,2.065418,1.689823,,1.630337,1.8288185,,0.275669,0.24155266666666667,,0.2623166666666667,0.2426665,,0.275669,0.232907,,0.2651335,0.2426665,,0.377639,0.3174223333333333,,0.34968933333333335,0.3349715,,0.377639,0.3089505,,0.35425249999999997,0.3349715,,-0.479832,-0.42048250000000004,,-0.45054716666666667,-0.42601049999999996,,-0.479832,-0.416142,,-0.454835,-0.42601049999999996,,0.252808,0.23133683333333332,,0.23737699999999998,0.2521735,,0.252808,0.22624699999999998,,0.23638900000000002,0.2521735,
A-2,2016,,,,0.439313,,,,,,0.439313,,,,,,0.21916,,,,,,0.21916,,,,,,0.413063,,,,,,0.413063,,,,,,1.434464,,,,,,1.434464,,,,,,0.225643,,,,,,0.225643,,,,,,0.291064,,,,,,0.291064,,,,,,-0.413063,,,,,,-0.413063,,,,,,0.216629,,,,,,0.216629,,
A-2,2017,,0.4256,0.419175,,,,,0.4256,0.419175,,,,,0.21558,0.216233,,,,,0.21558,0.216233,,,,,0.404056,0.392613,,,,,0.404056,0.392613,,,,,1.465593,1.543812,,,,,1.465593,1.543812,,,,,0.216533,0.209673,,,,,0.216533,0.209673,,,,,0.278738,0.272703,,,,,0.278738,0.272703,,,,,-0.404056,-0.392613,,,,,-0.404056,-0.392613,,,,,0.212884,0.211029,,,,,0.212884,0.211029,,,
A-2,2018,,0.44638,0.4470375,0.468814,,0.663118,,0.44638,0.4470375,0.468814,,0.663118,,0.228818,0.239153,0.237832,,0.245299,,0.228818,0.239153,0.237832,,0.245299,,0.401377,0.39847200000000005,0.428423,,0.49619,,0.401377,0.39847200000000005,0.428423,,0.49619,,1.458643,1.6880285000000002,1.552944,,2.213704,,1.458643,1.6880285000000002,1.552944,,2.213704,,0.21479,0.217505,0.227858,,0.288731,,0.21479,0.217505,0.227858,,0.288731,,0.29235,0.2915365,0.312404,,0.385361,,0.29235,0.2915365,0.312404,,0.385361,,-0.401377,-0.39847200000000005,-0.428423,,-0.49619,,-0.401377,-0.39847200000000005,-0.428423,,-0.49619,,0.218728,0.22642400000000001,0.229953,,0.250097,,0.218728,0.22642400000000001,0.229953,,0.250097
A-2,2019,,0.46563214285714283,0.43614949999999997,0.477311,,,,0.459225,0.43614949999999997,0.467619,,,,0.2223757142857143,0.2159085,0.2255855,,,,0.223524,0.2159085,0.22290700000000002,,,,0.39640442857142855,0.37021,0.422836,,,,0.402098,0.37021,0.4228645,,,,1.6482024285714285,1.7822695,1.8016415,,,,1.651854,1.7822695,1.7375205,,,,0.2272522857142857,0.20747,0.2335015,,,,0.226468,0.20747,0.22950399999999999,,,,0.2870774285714286,0.26872050000000003,0.3060525,,,,0.291985,0.26872050000000003,0.30271499999999996,,,,-0.39640442857142855,-0.37021,-0.422836,,,,-0.402098,-0.37021,-0.4228645,,,,0.214802,0.203425,0.22356225,,,,0.217135,0.203425,0.221108,,
A-2,2020,0.453205,0.4443893636363636,0.41713266666666665,0.4435914,0.406931,0.517621,0.453205,0.450899,0.415167,0.444373,0.406931,0.517621,0.230404,0.2170551818181818,0.22135466666666667,0.2137204,0.2316875,0.228169,0.230404,0.217278,0.222344,0.208148,0.2316875,0.228169,0.410234,0.3956170909090909,0.3911246666666666,0.41571980000000003,0.3836895,0.455655,0.410234,0.395471,0.387224,0.422069,0.3836895,0.455655,1.667749,1.5092155454545455,1.5427739999999999,1.5115684,1.569883,1.990394,1.667749,1.482643,1.581434,1.462056,1.569883,1.990394,0.224083,0.22050681818181816,0.20879933333333334,0.22439599999999998,0.202573,0.249578,0.224083,0.220557,0.208255,0.226475,0.202573,0.249578,0.302076,0.2831353636363636,0.2769523333333333,0.2940626,0.2776415,0.329175,0.302076,0.28175,0.27615,0.295918,0.2776415,0.329175,-0.410234,-0.3956170909090909,-0.3911246666666666,-0.41571980000000003,-0.3836895,-0.455655,-0.410234,-0.395471,-0.387224,-0.422069,-0.3836895,-0.455655,0.225242,0.21325836363636366,0.21667666666666666,0.21416399999999997,0.2198315,0.237328,0.225242,0.213323,0.220804,0.214742,0.2198315,0.237328
A-2,2021,,0.4986771538461538,0.46038833333333334,0.6020880000000001,0.506476,0.005517,,0.500253,0.4790125,0.582958,0.506476,0.005517,,0.23007161538461537,0.24579566666666666,0.24169766666666667,0.262332,0.362452,,0.234153,0.2470365,0.240046,0.262332,0.362452,,0.413916,0.40516633333333335,0.47781499999999993,0.436264,0.034305,,0.421843,0.418107,0.464874,0.436264,0.034305,,1.5550036153846152,1.7357595000000001,1.8501186666666667,1.876689,-0.368308,,1.78488,1.7224555,1.875723,1.876689,-0.368308,,0.23378053846153846,0.21926416666666668,0.267355,0.236454,-0.013235,,0.23657,0.2282225,0.260907,0.236454,-0.013235,,0.3012993076923077,0.2983631666666667,0.3504446666666667,0.326728,0.069566,,0.306329,0.3056055,0.338821,0.326728,0.069566,,-0.413916,-0.40516633333333335,-0.47781499999999993,-0.436264,-0.034305,,-0.421843,-0.418107,-0.464874,-0.436264,-0.034305,,0.22551338461538462,0.234264,0.2462243333333333,0.259312,0.058177,,0.225844,0.23845100000000002,0.239304,0.259312,0.058177
