variant,stage,transform,n,R2,RMSE,MAE,bias
primary (Tmean_chill + Tmean_CREC),in_sample,back-transformed,8,0.10787324407169796,3.4059514875854195,2.542019348388167,-0.40227436899534796
primary (Tmean_chill + Tmean_CREC),loyo_raw,back-transformed,8,-1.6942197665580152,5.918909294443916,4.258869056761017,0.30713590558742854
primary (Tmean_chill + Tmean_CREC),loyo_clipped,back-transformed,8,-0.7562328535887459,4.778771050887364,3.6893846837363906,-0.2623484674371983
primary (Tmean_chill + Tmean_CREC),loyo_log,log(y+0.5),8,-0.07073218691097583,0.7945994710699658,0.6523563544737556,0.08263581140774662
primary (Tmean_chill + Tmean_CREC),loyo_interior,back-transformed,4,0.21829739575956275,2.666989737165716,2.3789661523872905,-0.9643965784131359
Tmean_chill only,in_sample,back-transformed,8,0.10371100413756751,3.4138875183053843,2.695963854299583,-0.3976708153076166
Tmean_chill only,loyo_raw,back-transformed,8,-1.4521200490108006,5.646717223380336,4.000888106940921,0.4656796417121354
Tmean_chill only,loyo_clipped,back-transformed,8,-0.2901797474750405,4.095908872372889,3.3229094814300852,-0.21229898379869983
Tmean_chill only,loyo_log,log(y+0.5),8,0.19867385495068834,0.6874047028250002,0.5752990336360597,0.09039437228959904
Tmean_chill only,loyo_interior,back-transformed,5,0.07872725931007374,2.5993933760034325,2.2207122394622947,-1.4254071458756923
CP + Tmean_CREC,in_sample,back-transformed,8,-0.1735153775075977,3.906335747933223,3.6769912469648105,-1.1681284274940587
CP + Tmean_CREC,loyo_raw,back-transformed,8,-15.60836874587071,14.695645427205097,10.111714480899998,3.870782867312578
CP + Tmean_CREC,loyo_clipped,back-transformed,8,-2.899733537882046,7.121027161164071,6.40665559090122,0.16572397731379895
CP + Tmean_CREC,loyo_log,log(y+0.5),8,-2.2957437571717167,1.3940699366207472,1.2097599914532482,0.25487462196022953
CP + Tmean_CREC,loyo_interior,back-transformed,3,-48.40809395230648,4.781529680033409,4.712976892037199,-4.712976892037199
CH12 + Tmean_CREC,in_sample,back-transformed,8,-0.17477817883305513,3.9084369558540306,3.545408440469378,-0.9951061625882879
CH12 + Tmean_CREC,loyo_raw,back-transformed,8,-8.647781470841169,11.200538532445597,8.247777642364486,2.4381457302331637
CH12 + Tmean_CREC,loyo_clipped,back-transformed,8,-2.423862392349517,6.67241924656269,5.950955741870425,0.14132382973910262
CH12 + Tmean_CREC,loyo_log,log(y+0.5),8,-1.7556395441982704,1.2747324655577585,1.0976380156551553,0.23026688391522337
CH12 + Tmean_CREC,loyo_interior,back-transformed,4,-1.580989591146888,4.8461147292873585,4.820419647428442,-2.534930756728697
Tmean_chill + Tmax_FLOR,in_sample,back-transformed,8,0.22995180808651638,3.1643471925387794,2.5520496836199333,-0.3460368541428037
Tmean_chill + Tmax_FLOR,loyo_raw,back-transformed,8,-1.138849280783345,5.273698126360703,4.11671388189318,0.23637384234183512
Tmean_chill + Tmax_FLOR,loyo_clipped,back-transformed,8,-0.41850912003937735,4.29478316166396,3.6601171550794933,-0.22022288447185212
Tmean_chill + Tmax_FLOR,loyo_log,log(y+0.5),8,0.25459047259556666,0.6629874572756108,0.6083604536782705,0.07408558100731472
Tmean_chill + Tmax_FLOR,loyo_interior,back-transformed,4,-0.07445027961874406,3.0787398269035817,2.7906158152229246,-0.7591661198739552
RF (5 features),loyo_raw,raw,8,-0.039689747296233646,3.6768596798532176,3.2307245075757547,0.4067739772727229
